name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Dratini,41,64,45,50,50,50,300
Dragonair,61,84,65,70,70,70,420
Dragonite,91,134,95,80,100,100,600
Kingdra,75,95,95,85,95,95,540
Vibrava,50,70,50,70,50,50,340
Flygon,80,100,80,100,80,80,520
Altaria,75,110,110,80,110,105,590
Bagon,45,75,60,50,40,30,300
Shelgon,65,95,100,50,60,50,420
Salamence,95,145,130,120,120,90,700
Latias,80,100,120,110,140,150,700
Latios,80,130,100,110,160,120,700
Rayquaza,105,180,100,115,180,100,780
Gible,58,70,45,42,40,45,300
Gabite,68,90,65,82,50,55,410
Garchomp,108,170,115,92,120,95,700
Dialga,100,120,120,90,150,100,680
Palkia,90,120,100,100,150,120,680
Giratina,150,120,100,90,120,100,680
Axew,46,87,60,57,30,40,320
Fraxure,66,117,70,67,40,50,410
Haxorus,76,147,90,97,60,70,540
Druddigon,77,120,90,48,60,90,485
Deino,52,65,50,38,45,50,300
Zweilous,72,85,70,58,65,70,420
Hydreigon,92,105,90,98,125,90,600
Reshiram,100,120,100,90,150,120,680
Zekrom,100,150,120,90,120,100,680
Kyurem,125,120,90,95,170,100,700
Dragalge,65,75,90,44,97,123,494
Tyrunt,58,89,77,48,45,45,362
Tyrantrum,82,121,119,71,69,59,521
Goomy,45,50,35,40,55,75,300
Sliggoo,68,75,53,60,83,113,452
Goodra,90,100,70,80,110,150,600
Noibat,40,30,35,55,45,40,245
Noivern,85,70,80,123,97,80,535
Zygarde,216,100,121,85,91,95,708
Turtonator,60,78,135,36,91,85,485
Drampa,78,60,85,36,135,91,485
Jangmo-o,45,55,65,45,45,45,300
Hakamo-o,55,75,90,65,65,70,420
Kommo-o,75,110,125,85,100,105,600
Guzzlord,223,101,53,43,97,53,570
