name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Sandshrew,50,75,90,40,10,35,300
Sandslash,75,100,120,65,25,65,450
Vulpix,38,41,40,65,50,65,299
Ninetales,73,67,75,109,81,100,505
Dewgong,90,70,80,70,70,95,475
Cloyster,50,95,180,70,85,45,525
Jynx,65,50,35,95,115,95,455
Lapras,130,85,80,60,85,95,535
Articuno,90,85,100,85,95,125,580
Sneasel,55,95,55,115,35,75,430
Swinub,50,50,40,50,30,30,250
Piloswine,100,100,80,50,60,60,450
Delibird,45,55,45,75,65,45,330
Smoochum,45,30,15,65,85,65,305
Snorunt,50,50,50,50,50,50,300
Glalie,80,120,80,100,120,80,580
Spheal,70,40,50,25,55,50,290
Sealeo,90,60,70,45,75,70,410
Walrein,110,80,90,65,95,90,530
Regice,80,50,100,50,100,200,580
Snover,60,62,50,40,62,60,334
Abomasnow,90,132,105,30,132,105,594
Weavile,70,120,65,125,45,85,510
Glaceon,65,60,110,65,130,95,525
Mamoswine,110,130,80,80,70,60,530
Froslass,70,80,70,110,80,70,480
Vanillite,36,50,50,44,65,60,305
Vanillish,51,65,65,59,80,75,395
Vanilluxe,71,95,85,79,110,95,535
Cubchoo,55,70,40,40,60,40,305
Beartic,95,130,80,50,70,80,505
Cryogonal,80,50,50,105,95,135,515
Kyurem,125,120,90,95,170,100,700
Amaura,77,59,50,46,67,63,362
Aurorus,123,77,72,58,99,92,521
Bergmite,55,69,85,28,32,35,304
Avalugg,95,117,184,28,44,46,514
Crabominable,97,132,77,43,62,67,478
