name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Pikachu,35,55,40,90,50,50,320
Raichu,60,85,50,110,95,85,485
Magnemite,25,35,70,45,95,55,325
Magneton,50,60,95,70,120,70,465
Voltorb,40,30,50,100,55,55,330
Electrode,60,50,70,150,80,80,490
Electabuzz,65,83,57,105,95,85,490
Jolteon,65,65,60,130,110,95,525
Zapdos,90,90,85,100,125,90,580
Chinchou,75,38,38,67,56,56,330
Lanturn,125,58,58,67,76,76,460
Pichu,20,40,15,60,35,35,205
Mareep,55,40,40,35,65,45,280
Flaaffy,70,55,55,45,80,60,365
Ampharos,90,95,105,45,165,110,610
Elekid,45,63,37,95,65,55,360
Raikou,90,85,75,115,115,100,580
Electrike,40,45,40,65,65,40,295
Manectric,70,75,80,135,135,80,575
Plusle,60,50,40,95,85,75,405
Minun,60,40,50,95,75,85,405
Shinx,45,65,34,45,40,34,263
Luxio,60,85,49,60,60,49,363
Luxray,80,120,79,70,95,79,523
Pachirisu,60,45,70,95,45,90,405
Magnezone,70,70,115,60,130,90,535
Electivire,75,123,67,95,95,85,540
Rotom,50,65,107,86,105,107,520
Blitzle,45,60,32,76,50,32,295
Zebstrika,75,100,63,116,80,63,497
Emolga,55,75,60,103,75,60,428
Joltik,50,47,50,65,57,50,319
Galvantula,70,77,60,108,97,60,472
Tynamo,35,55,40,60,45,40,275
Eelektrik,65,85,70,40,75,70,405
Eelektross,85,115,80,50,105,80,515
Stunfisk,109,66,84,32,81,99,471
Thundurus,79,105,70,101,145,80,580
Zekrom,100,150,120,90,120,100,680
Helioptile,44,38,33,70,61,43,289
Heliolisk,62,55,52,109,109,94,481
Dedenne,67,58,57,101,81,67,431
Charjabug,57,82,95,36,55,75,400
Vikavolt,77,70,90,43,145,75,500
Togedemaru,65,98,63,96,40,73,435
Tapu Koko,70,115,85,130,95,75,570
Xurkitree,83,89,71,83,173,71,570
