name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Rattata,30,56,35,72,25,35,253
Raticate,75,71,70,77,40,80,413
Meowth,40,35,35,90,50,40,290
Persian,65,60,60,115,75,65,440
Umbreon,95,65,110,65,60,130,525
Murkrow,60,85,42,91,85,42,405
Sneasel,55,95,55,115,35,75,430
Houndour,45,60,30,65,80,50,330
Houndoom,75,90,90,115,140,90,600
Tyranitar,100,164,150,71,95,120,700
Poochyena,35,55,35,35,30,30,220
Mightyena,70,90,70,70,60,60,420
Nuzleaf,70,70,40,60,60,40,340
Shiftry,90,100,60,80,90,60,480
Sableye,50,85,125,20,85,115,480
Carvanha,45,90,20,65,65,20,305
Sharpedo,70,140,70,105,110,65,560
Cacturne,70,115,60,55,115,60,475
Crawdaunt,63,120,85,55,90,55,468
Absol,65,150,60,115,115,60,565
Honchkrow,100,125,52,71,105,52,505
Stunky,63,63,47,74,41,41,329
Skuntank,103,93,67,84,71,61,479
Spiritomb,50,92,108,35,92,108,485
Drapion,70,90,110,95,60,75,500
Weavile,70,120,65,125,45,85,510
Darkrai,70,90,90,125,135,90,600
Purrloin,41,50,37,66,50,37,281
Liepard,64,88,50,106,88,50,446
Sandile,50,72,35,65,35,35,292
Krokorok,60,82,45,74,45,45,351
Krookodile,95,117,80,92,65,70,519
Scraggy,50,75,70,48,35,70,348
Scrafty,65,90,115,58,45,115,488
Zorua,40,65,40,65,80,40,330
Zoroark,60,105,60,105,120,60,510
Pawniard,45,85,70,60,40,40,340
Bisharp,65,125,100,70,60,70,490
Vullaby,70,55,75,60,45,65,370
Mandibuzz,110,65,105,80,55,95,510
Deino,52,65,50,38,45,50,300
Zweilous,72,85,70,58,65,70,420
Hydreigon,92,105,90,98,125,90,600
Greninja,72,145,67,132,153,71,640
Pangoro,95,124,78,58,69,71,495
Inkay,53,54,53,45,37,46,288
Malamar,86,92,88,73,68,75,482
Yveltal,126,131,95,99,131,98,680
Incineroar,95,115,90,60,80,90,530
Guzzlord,223,101,53,43,97,53,570
