name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Gastly,30,35,30,80,100,35,310
Haunter,45,50,45,95,115,55,405
Gengar,60,65,80,130,170,95,600
Misdreavus,60,60,60,85,85,85,435
Shedinja,1,90,45,40,30,30,236
Sableye,50,85,125,20,85,115,480
Shuppet,44,75,35,45,63,33,295
Banette,64,165,75,75,93,83,555
Duskull,20,40,90,25,30,90,295
Dusclops,40,70,130,25,60,130,455
Drifloon,90,50,34,70,60,44,348
Drifblim,150,80,44,80,90,54,498
Mismagius,60,60,60,105,105,105,495
Spiritomb,50,92,108,35,92,108,485
Dusknoir,45,100,135,45,65,135,525
Froslass,70,80,70,110,80,70,480
Rotom,50,65,107,86,105,107,520
Giratina,150,120,100,90,120,100,680
Yamask,38,30,85,30,55,65,303
Cofagrigus,58,50,145,30,95,105,483
Frillish,55,40,50,40,65,85,335
Jellicent,100,60,70,60,85,105,480
Litwick,50,30,55,20,65,55,275
Lampent,60,40,60,55,95,60,370
Chandelure,60,55,90,80,145,90,520
Golett,59,74,50,35,35,50,303
Golurk,89,124,80,55,55,80,483
Honedge,45,80,100,28,35,37,325
Doublade,59,110,150,35,45,49,448
Aegislash,60,150,50,60,150,50,520
Phantump,43,70,48,38,50,60,309
Trevenant,85,110,76,56,65,82,474
Pumpkaboo,59,66,70,41,44,55,335
Gourgeist,85,100,122,54,58,75,494
Hoopa,80,160,60,80,170,130,680
Decidueye,78,107,75,70,100,100,530
Sandygast,55,55,80,15,70,45,320
Palossand,85,75,110,35,100,75,480
Mimikyu,55,90,80,96,50,105,476
Dhelmise,70,131,100,40,86,90,517
Lunala,137,113,89,97,137,107,680
