name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Squirtle,44,48,65,43,50,64,314
Wartortle,59,63,80,58,65,80,405
Blastoise,79,103,120,78,135,115,630
Psyduck,50,52,48,55,65,50,320
Golduck,80,82,78,85,95,80,500
Poliwag,40,50,40,90,40,40,300
Poliwhirl,65,65,65,90,50,50,385
Poliwrath,90,95,95,70,70,90,510
Tentacool,40,40,35,70,50,100,335
Tentacruel,80,70,65,100,80,120,515
Slowpoke,90,65,65,15,40,40,315
Slowbro,95,75,180,30,130,80,590
Seel,65,45,55,45,45,70,325
Dewgong,90,70,80,70,70,95,475
Shellder,30,65,100,40,45,25,305
Cloyster,50,95,180,70,85,45,525
Krabby,30,105,90,50,25,25,325
Kingler,55,130,115,75,50,50,475
Horsea,30,40,70,60,70,25,295
Seadra,55,65,95,85,95,45,440
Goldeen,45,67,60,63,35,50,320
Seaking,80,92,65,68,65,80,450
Staryu,30,45,55,85,70,55,340
Starmie,60,75,85,115,100,85,520
Magikarp,20,10,55,80,15,20,200
Gyarados,95,155,109,81,70,130,640
Lapras,130,85,80,60,85,95,535
Vaporeon,130,65,60,65,110,95,525
Omanyte,35,40,100,35,90,55,355
Omastar,70,60,125,55,115,70,495
Kabuto,30,80,90,55,55,45,355
Kabutops,60,115,105,80,65,70,495
Totodile,50,65,64,43,44,48,314
Croconaw,65,80,80,58,59,63,405
Feraligatr,85,105,100,78,79,83,530
Chinchou,75,38,38,67,56,56,330
Lanturn,125,58,58,67,76,76,460
Marill,70,20,50,40,20,50,250
Azumarill,100,50,80,50,60,80,420
Politoed,90,75,75,70,90,100,500
Wooper,55,45,45,15,25,25,210
Quagsire,95,85,85,35,65,65,430
Slowking,95,75,80,30,100,110,490
Qwilfish,65,95,85,85,55,55,440
Corsola,65,55,95,35,65,95,410
Remoraid,35,65,35,65,65,35,300
Octillery,75,105,75,45,105,75,480
Mantine,85,40,70,70,80,140,485
Kingdra,75,95,95,85,95,95,540
Suicune,100,75,115,85,90,115,580
Mudkip,50,70,50,40,50,50,310
Marshtomp,70,85,70,50,60,70,405
Swampert,100,150,110,70,95,110,635
Lotad,40,30,30,30,40,50,220
Lombre,60,50,50,50,60,70,340
Ludicolo,80,70,70,70,90,100,480
Wingull,40,30,30,85,55,30,270
Pelipper,60,50,100,65,95,70,440
Surskit,40,30,32,65,50,52,269
Carvanha,45,90,20,65,65,20,305
Sharpedo,70,140,70,105,110,65,560
Wailmer,130,70,35,60,70,35,400
Wailord,170,90,45,60,90,45,500
Barboach,50,48,43,60,46,41,288
Whiscash,110,78,73,60,76,71,468
Corphish,43,80,65,35,50,35,308
Crawdaunt,63,120,85,55,90,55,468
Feebas,20,15,20,80,10,55,200
Milotic,95,60,79,81,100,125,540
Spheal,70,40,50,25,55,50,290
Sealeo,90,60,70,45,75,70,410
Walrein,110,80,90,65,95,90,530
Clamperl,35,64,85,32,74,55,345
Huntail,55,104,105,52,94,75,485
Gorebyss,55,84,105,52,114,75,485
Relicanth,100,90,130,55,45,65,485
Luvdisc,43,30,55,97,40,65,330
Kyogre,100,150,90,90,180,160,770
Piplup,53,51,53,40,61,56,314
Prinplup,64,66,68,50,81,76,405
Empoleon,84,86,88,60,111,101,530
Bibarel,79,85,60,71,55,60,410
Buizel,55,65,35,85,60,30,330
Floatzel,85,105,55,115,85,50,495
Shellos,76,48,48,34,57,62,325
Gastrodon,111,83,68,39,92,82,475
Finneon,49,49,56,66,49,61,330
Lumineon,69,69,76,91,69,86,460
Mantyke,45,20,50,50,60,120,345
Palkia,90,120,100,100,150,120,680
Phione,80,80,80,80,80,80,480
Manaphy,100,100,100,100,100,100,600
Oshawott,55,55,45,45,63,45,308
Dewott,75,75,60,60,83,60,413
Samurott,95,100,85,70,108,70,528
Panpour,50,53,48,64,53,48,316
Simipour,75,98,63,101,98,63,498
Tympole,50,50,40,64,50,40,294
Palpitoad,75,65,55,69,65,55,384
Seismitoad,105,95,75,74,85,75,509
Basculin,70,92,65,98,80,55,460
Tirtouga,54,78,103,22,53,45,355
Carracosta,74,108,133,32,83,65,495
Ducklett,62,44,50,55,44,50,305
Swanna,75,87,63,98,87,63,473
Frillish,55,40,50,40,65,85,335
Jellicent,100,60,70,60,85,105,480
Alomomola,165,75,80,65,40,45,470
Keldeo,91,72,90,108,129,90,580
Froakie,41,56,40,71,62,44,314
Frogadier,54,63,52,97,83,56,405
Greninja,72,145,67,132,153,71,640
Binacle,42,52,67,50,39,56,306
Barbaracle,72,105,115,68,54,86,500
Skrelp,50,60,60,30,60,60,320
Clauncher,50,53,62,44,58,63,330
Clawitzer,71,73,88,59,120,89,500
Volcanion,80,110,120,70,130,90,600
Popplio,50,54,54,40,66,56,320
Brionne,60,69,69,50,91,81,420
Primarina,80,74,74,60,126,116,530
Wishiwashi,45,140,130,30,140,135,620
Mareanie,50,53,62,45,43,52,305
Toxapex,50,63,152,35,53,142,495
Dewpider,38,40,52,27,40,72,269
Araquanid,68,70,92,42,50,132,454
Wimpod,25,35,40,80,20,30,230
Golisopod,75,125,140,40,60,90,530
Pyukumuku,55,60,130,5,30,130,410
Bruxish,68,105,70,92,70,70,475
Tapu Fini,70,75,115,85,95,130,570
