name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Pidgey,40,45,40,56,35,35,251
Pidgeotto,63,60,55,71,50,50,349
Pidgeot,83,80,80,121,135,80,579
Rattata,30,56,35,72,25,35,253
Raticate,75,71,70,77,40,80,413
Spearow,40,60,30,70,31,31,262
Fearow,65,90,65,100,61,61,442
Jigglypuff,115,45,20,20,45,25,270
Wigglytuff,140,70,45,45,85,50,435
Meowth,40,35,35,90,50,40,290
Persian,65,60,60,115,75,65,440
Farfetch'd,52,90,55,60,58,62,377
Doduo,35,85,45,75,35,35,310
Dodrio,60,110,70,110,60,60,470
Lickitung,90,55,75,30,60,75,385
Chansey,250,5,5,50,35,105,450
Kangaskhan,105,125,100,100,60,100,590
Tauros,75,100,95,110,40,70,490
Ditto,48,48,48,48,48,48,288
Eevee,55,55,50,55,45,65,325
Porygon,65,60,70,40,85,75,395
Snorlax,160,110,65,30,65,110,540
Sentret,35,46,34,20,35,45,215
Furret,85,76,64,90,45,55,415
Hoothoot,60,30,30,50,36,56,262
Noctowl,100,50,50,70,86,96,452
Igglybuff,90,30,15,15,40,20,210
Aipom,55,70,55,85,40,55,360
Girafarig,70,80,65,85,90,65,455
Dunsparce,100,70,70,45,65,65,415
Teddiursa,60,80,50,40,50,50,330
Ursaring,90,130,75,55,75,75,500
Porygon2,85,80,90,60,105,95,515
Stantler,73,95,62,85,85,65,465
Smeargle,55,20,35,75,20,45,250
Miltank,95,80,105,100,40,70,490
Blissey,255,10,10,55,75,135,540
Zigzagoon,38,30,41,60,30,41,240
Linoone,78,70,61,100,50,61,420
Taillow,40,55,30,85,30,30,270
Swellow,60,85,60,125,75,50,455
Slakoth,60,60,60,30,35,35,280
Vigoroth,80,80,80,90,55,55,440
Slaking,150,160,100,100,95,65,670
Whismur,64,51,23,28,51,23,240
Loudred,84,71,43,48,71,43,360
Exploud,104,91,63,68,91,73,490
Azurill,50,20,40,20,20,40,190
Skitty,50,45,45,50,35,35,260
Delcatty,70,65,65,90,55,55,400
Spinda,60,60,60,60,60,60,360
Swablu,45,40,60,50,40,75,310
Zangoose,73,115,60,90,60,60,458
Castform,70,70,70,70,70,70,420
Kecleon,60,90,70,40,60,120,440
Starly,40,55,30,60,30,30,245
Staravia,55,75,50,80,40,40,340
Staraptor,85,120,70,100,50,60,485
Bidoof,59,45,40,31,35,40,250
Bibarel,79,85,60,71,55,60,410
Ambipom,75,100,66,115,60,66,482
Buneary,55,66,44,85,44,56,350
Lopunny,65,136,94,135,54,96,580
Glameow,49,55,42,85,42,37,310
Purugly,71,82,64,112,64,59,452
Happiny,100,5,5,30,15,65,220
Chatot,76,65,45,91,92,42,411
Munchlax,135,85,40,5,40,85,390
Lickilicky,110,85,95,50,80,95,515
Porygon-Z,85,80,70,90,135,75,535
Regigigas,110,160,110,100,80,110,670
Arceus,120,120,120,120,120,120,720
Patrat,45,55,39,42,35,39,255
Watchog,60,85,69,77,60,69,420
Lillipup,45,60,45,55,25,45,275
Herdier,65,80,65,60,35,65,370
Stoutland,85,110,90,80,45,90,500
Pidove,50,55,50,43,36,30,264
Tranquill,62,77,62,65,50,42,358
Unfezant,80,115,80,93,65,55,488
Audino,103,60,126,50,80,126,545
Minccino,55,50,40,75,40,40,300
Cinccino,75,95,60,115,65,60,470
Deerling,60,60,50,75,40,50,335
Sawsbuck,80,100,70,95,60,70,475
Bouffalant,95,110,95,55,40,95,490
Rufflet,70,83,50,60,37,50,350
Braviary,100,123,75,80,57,75,510
Meloetta,100,128,90,128,77,77,600
Bunnelby,38,36,38,57,32,36,237
Diggersby,85,56,77,78,50,77,423
Fletchling,45,50,43,62,40,38,278
Litleo,62,50,58,72,73,54,369
Pyroar,86,68,72,106,109,66,507
Furfrou,75,80,60,102,65,90,472
Helioptile,44,38,33,70,61,43,289
Heliolisk,62,55,52,109,109,94,481
Pikipek,35,75,30,65,30,30,265
Trumbeak,55,85,50,75,40,50,355
Toucannon,80,120,75,60,75,75,485
Yungoos,48,70,30,45,30,30,253
Gumshoos,88,110,60,45,55,60,418
Stufful,70,75,50,50,45,50,340
Bewear,120,125,80,60,55,60,500
Oranguru,90,60,80,60,90,110,490
Type: Null,95,95,95,59,95,95,534
Silvally,95,95,95,95,95,95,570
Komala,65,115,65,65,75,95,480
Drampa,78,60,85,36,135,91,485
