name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Bulbasaur,45,49,49,45,65,65,318
Ivysaur,60,62,63,60,80,80,405
Venusaur,80,100,123,80,122,120,625
Weedle,40,35,30,50,20,20,195
Kakuna,45,25,50,35,25,25,205
Beedrill,65,150,40,145,15,80,495
Ekans,35,60,44,55,40,54,288
Arbok,60,95,69,80,65,79,448
Nidoran♀,55,47,52,41,40,40,275
Nidorina,70,62,67,56,55,55,365
Nidoqueen,90,92,87,76,75,85,505
Nidoran♂,46,57,40,50,40,40,273
Nidorino,61,72,57,65,55,55,365
Nidoking,81,102,77,85,85,75,505
Zubat,40,45,35,55,30,40,245
Golbat,75,80,70,90,65,75,455
Oddish,45,50,55,30,75,65,320
Gloom,60,65,70,40,85,75,395
Vileplume,75,80,85,50,110,90,490
Venonat,60,55,50,45,40,55,305
Venomoth,70,65,60,90,90,75,450
Bellsprout,50,75,35,40,70,30,300
Weepinbell,65,90,50,55,85,45,390
Victreebel,80,105,65,70,100,70,490
Tentacool,40,40,35,70,50,100,335
Tentacruel,80,70,65,100,80,120,515
Grimer,80,80,50,25,40,50,325
Muk,105,105,75,50,65,100,500
Gastly,30,35,30,80,100,35,310
Haunter,45,50,45,95,115,55,405
Gengar,60,65,80,130,170,95,600
Koffing,40,65,95,35,60,45,340
Weezing,65,90,120,60,85,70,490
Spinarak,40,60,40,30,40,40,250
Ariados,70,90,70,40,60,70,400
Crobat,85,90,80,130,70,80,535
Qwilfish,65,95,85,85,55,55,440
Dustox,60,50,70,65,50,90,385
Roselia,50,60,45,65,100,80,400
Gulpin,70,43,53,40,43,53,302
Swalot,100,73,83,55,73,83,467
Seviper,73,100,60,65,100,60,458
Budew,40,30,35,55,50,70,280
Roserade,60,70,65,90,125,105,515
Stunky,63,63,47,74,41,41,329
Skuntank,103,93,67,84,71,61,479
Skorupi,40,50,90,65,30,55,330
Drapion,70,90,110,95,60,75,500
Croagunk,48,61,40,50,61,40,300
Toxicroak,83,106,65,85,86,65,490
Venipede,30,45,59,57,30,39,260
Whirlipede,40,55,99,47,40,79,360
Scolipede,60,100,89,112,55,69,485
Trubbish,50,50,62,65,40,62,329
Garbodor,80,95,82,75,60,82,474
Foongus,69,55,45,15,55,55,294
Amoonguss,114,85,70,30,85,80,464
Skrelp,50,60,60,30,60,60,320
Dragalge,65,75,90,44,97,123,494
Mareanie,50,53,62,45,43,52,305
Toxapex,50,63,152,35,53,142,495
Salandit,48,44,40,77,71,40,320
Salazzle,68,64,60,117,111,60,480
Nihilego,109,53,47,103,127,131,570
