name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Mankey,40,80,35,70,35,45,305
Primeape,65,105,60,95,60,70,455
Poliwrath,90,95,95,70,70,90,510
Machop,70,80,50,35,35,35,305
Machoke,80,100,70,45,50,60,405
Machamp,90,130,80,55,65,85,505
Hitmonlee,50,120,53,87,35,110,455
Hitmonchan,50,105,79,76,35,110,455
Heracross,80,185,115,75,40,105,600
Tyrogue,35,35,35,35,35,35,210
Hitmontop,50,95,95,70,35,110,455
Combusken,60,85,60,55,85,60,405
Blaziken,80,160,80,100,130,80,630
Breloom,60,130,80,70,60,60,460
Makuhita,72,60,30,25,20,30,237
Hariyama,144,120,60,50,40,60,474
Meditite,30,40,55,60,40,55,280
Medicham,60,100,85,100,80,85,510
Monferno,64,78,52,81,78,52,405
Infernape,76,104,71,108,104,71,534
Riolu,40,70,40,60,35,40,285
Lucario,70,145,88,112,140,70,625
Croagunk,48,61,40,50,61,40,300
Toxicroak,83,106,65,85,86,65,490
Gallade,68,165,95,110,65,115,618
Pignite,90,93,55,55,70,55,418
Emboar,110,123,65,65,100,65,528
Timburr,75,80,55,35,25,35,305
Gurdurr,85,105,85,40,40,50,405
Conkeldurr,105,140,95,45,55,65,505
Throh,120,100,85,45,30,85,465
Sawk,75,125,75,85,30,75,465
Scraggy,50,75,70,48,35,70,348
Scrafty,65,90,115,58,45,115,488
Mienfoo,45,85,50,65,55,50,350
Mienshao,65,125,60,105,95,60,510
Cobalion,91,90,129,108,90,72,580
Terrakion,91,129,90,108,72,90,580
Virizion,91,90,72,108,90,129,580
Keldeo,91,72,90,108,129,90,580
Chesnaught,88,107,122,64,74,75,530
Pancham,67,82,62,43,46,48,348
Pangoro,95,124,78,58,69,71,495
Hawlucha,78,92,75,118,74,63,500
Crabrawler,47,82,57,63,42,47,338
Crabominable,97,132,77,43,62,67,478
Stufful,70,75,50,50,45,50,340
Bewear,120,125,80,60,55,60,500
Passimian,100,120,90,80,40,60,490
Hakamo-o,55,75,90,65,65,70,420
Kommo-o,75,110,125,85,100,105,600
Buzzwole,107,139,139,79,53,53,570
Pheromosa,71,137,37,151,137,37,570
