name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Abra,25,20,15,90,105,55,310
Kadabra,40,35,30,105,120,70,400
Alakazam,55,50,65,150,175,105,600
Slowpoke,90,65,65,15,40,40,315
Slowbro,95,75,180,30,130,80,590
Drowzee,60,48,45,42,43,90,328
Hypno,85,73,70,67,73,115,483
Exeggcute,60,40,80,40,60,45,325
Exeggutor,95,105,85,45,125,75,530
Starmie,60,75,85,115,100,85,520
Mr. Mime,40,45,65,90,100,120,460
Jynx,65,50,35,95,115,95,455
Mewtwo,106,150,70,140,194,120,780
Mew,100,100,100,100,100,100,600
Natu,40,50,45,70,70,45,320
Xatu,65,75,70,95,95,70,470
Espeon,65,65,60,110,130,95,525
Slowking,95,75,80,30,100,110,490
Unown,48,72,48,48,72,48,336
Wobbuffet,190,33,58,33,33,58,405
Girafarig,70,80,65,85,90,65,455
Smoochum,45,30,15,65,85,65,305
Lugia,106,90,130,110,90,154,680
Celebi,100,100,100,100,100,100,600
Ralts,28,25,25,40,45,35,198
Kirlia,38,35,35,50,65,55,278
Gardevoir,68,85,65,100,165,135,618
Meditite,30,40,55,60,40,55,280
Medicham,60,100,85,100,80,85,510
Spoink,60,25,35,60,70,80,330
Grumpig,80,45,65,80,90,110,470
Lunatone,90,55,65,70,95,85,460
Solrock,90,95,85,70,55,65,460
Baltoy,40,40,55,55,40,70,300
Claydol,60,70,105,75,70,120,500
Chimecho,75,50,80,65,95,90,455
Wynaut,95,23,48,23,23,48,260
Beldum,40,55,80,30,35,60,300
Metang,60,75,100,50,55,80,420
Metagross,80,145,150,110,105,110,700
Latias,80,100,120,110,140,150,700
Latios,80,130,100,110,160,120,700
Jirachi,100,100,100,100,100,100,600
Deoxys,50,95,90,180,95,90,600
Chingling,45,30,50,45,65,50,285
Bronzor,57,24,86,23,24,86,300
Bronzong,67,89,116,33,79,116,500
Mime Jr.,20,25,45,60,70,90,310
Gallade,68,165,95,110,65,115,618
Uxie,75,75,130,95,75,130,580
Mesprit,80,105,105,80,105,105,580
Azelf,75,125,70,115,125,70,580
Cresselia,120,70,120,85,75,130,600
Victini,100,100,100,100,100,100,600
Munna,76,25,45,24,67,55,292
Musharna,116,55,85,29,107,95,487
Woobat,65,45,43,72,55,43,323
Swoobat,67,57,55,114,77,55,425
Sigilyph,72,58,80,97,103,80,490
Gothita,45,30,50,45,55,65,290
Gothorita,60,45,70,55,75,85,390
Gothitelle,70,55,95,65,95,110,490
Solosis,45,30,40,20,105,50,290
Duosion,65,40,50,30,125,60,370
Reuniclus,110,65,75,30,125,85,490
Elgyem,55,55,55,30,85,55,335
Beheeyem,75,75,75,40,125,95,485
Meloetta,100,128,90,128,77,77,600
Delphox,75,69,72,104,114,100,534
Espurr,62,48,54,68,63,60,355
Meowstic,74,48,76,104,83,81,466
Inkay,53,54,53,45,37,46,288
Malamar,86,92,88,73,68,75,482
Hoopa,80,160,60,80,170,130,680
Oranguru,90,60,80,60,90,110,490
Bruxish,68,105,70,92,70,70,475
Tapu Lele,70,85,75,95,130,115,570
Cosmog,43,29,31,37,29,31,200
Cosmoem,43,29,131,37,29,131,400
Solgaleo,137,137,107,97,113,89,680
Lunala,137,113,89,97,137,107,680
Necrozma,97,107,101,79,127,89,600
